customer_id,customer_name,city,state,segment
1,Davidson Ltd,Fieldschester,Rhode Island,Retail
2,Haynes Group,Port Cynthiafurt,Arkansas,Wholesale
3,"Harris, Palmer and Perez",Nicoleville,Idaho,Government
4,"Gardner, Forbes and Walsh",Leeside,Oklahoma,Wholesale
5,"Suarez, Mccoy and Garcia",South Heatherchester,Illinois,Corporate
6,"Duke, Benton and Gonzalez",Jamesberg,Connecticut,Retail
7,Mcconnell LLC,Lake Phyllistown,Virginia,Government
8,Turner and Sons,South Jennifermouth,Georgia,Wholesale
9,"Williams, Cole and Owens",New Katherinestad,Iowa,Retail
10,Sanchez LLC,Leahbury,Utah,Wholesale
11,"Page, Watkins and Franklin",New Nicholasmouth,Kentucky,Wholesale
12,Valdez-Crawford,Benjaminmouth,Utah,Corporate
13,"Miller, Gray and Taylor",Bobbyton,California,Corporate
14,Jackson-Adams,East Kayla,South Carolina,Wholesale
15,Cortez-Campbell,Medinaton,New Jersey,Government
16,"Turner, Clark and Lewis",North Jamestown,Nevada,Corporate
17,Ross-Young,North Seth,Vermont,Corporate
18,Chan-Russell,West Samanthaland,North Dakota,Corporate
19,Mcdonald and Sons,East Courtneyland,Delaware,Corporate
20,"Melendez, Robles and Jennings",Meganburgh,New Mexico,Retail
21,"Stout, Gamble and Castillo",Blakeview,New Mexico,Wholesale
22,Schwartz Ltd,North Carolyn,Texas,Retail
23,Miller-Sosa,West Laurie,Missouri,Retail
24,Santos Group,Joshuaton,New York,Wholesale
25,Reed-Ramirez,Glennburgh,Minnesota,Corporate
26,Drake-Miles,Candaceland,Wisconsin,Government
27,"Ramirez, Campbell and Bates",West Brad,Tennessee,Corporate
28,Alvarez-Barber,Jacobfurt,West Virginia,Corporate
29,Bond Group,Lake Bradley,Washington,Corporate
30,Graham Group,Sharonmouth,Michigan,Corporate
31,Richards and Sons,Bryanside,Wisconsin,Government
32,"Cooper, Mason and Villa",East Mirandaview,West Virginia,Retail
33,Miller PLC,Andersonchester,Mississippi,Government
34,Allen Inc,Christinaville,Oklahoma,Wholesale
35,Ferguson-Chang,New Kellychester,Wyoming,Corporate
36,"Hernandez, Henry and Buchanan",Dodsontown,Alabama,Government
37,Brock-Pham,West Stevenberg,Pennsylvania,Wholesale
38,Cox-Young,East Jennifer,New Mexico,Government
39,Bowman-Galloway,Sarahchester,Utah,Corporate
40,Lopez-Flores,New Makaylamouth,Alabama,Corporate
41,"Torres, Ortiz and Gibson",Sheriton,New Jersey,Wholesale
42,Booth Inc,Alvarezhaven,Pennsylvania,Government
43,Hawkins-Butler,North Patrickhaven,Idaho,Corporate
44,"Gonzalez, Robertson and Morrison",Lake Troytown,Massachusetts,Wholesale
45,Jones-Gonzalez,Adamland,Nevada,Government
46,Brown Inc,Laurafurt,Wyoming,Government
47,Wright Inc,Port April,Massachusetts,Wholesale
48,Thompson and Sons,West Erik,Illinois,Government
49,Taylor LLC,Santiagoview,Kansas,Government
50,Thomas Inc,Patrickland,New Mexico,Corporate
51,White Inc,Valdezland,Wisconsin,Corporate
52,"Roberts, Baker and Arnold",Heathermouth,New Hampshire,Corporate
53,"Glover, Sanchez and Carter",New Heatherfort,Idaho,Wholesale
54,Lawson-Green,Jessicafurt,Tennessee,Retail
55,Davis-Hernandez,Chenburgh,Vermont,Government
56,Greene-Gregory,West Matthewland,Mississippi,Wholesale
57,Gonzales-Joyce,Smithmouth,Arizona,Retail
58,Wolfe and Sons,Carltown,Massachusetts,Retail
59,Reed Ltd,Jeffreytown,Iowa,Wholesale
60,"Flores, Dunlap and Ho",Ronaldberg,Massachusetts,Retail
61,Rodriguez-Hurst,West James,Florida,Corporate
62,Williams-Edwards,East John,Kentucky,Wholesale
63,"Goodman, Garza and Myers",Edwardsmouth,Alabama,Government
64,Bennett-Brown,Paynetown,Michigan,Corporate
65,"Cole, Foster and Mcbride",South Alexabury,Wisconsin,Government
66,Norton-Reynolds,East Vanessamouth,South Dakota,Retail
67,Smith and Sons,Ericaton,Minnesota,Corporate
68,Munoz Inc,Justinview,New Mexico,Government
69,"Thompson, Bryan and Swanson",Powersmouth,Louisiana,Wholesale
70,"Johnson, Bauer and Lee",Lisafort,Rhode Island,Retail
71,"Roberts, Donovan and Morrison",East Donnabury,Tennessee,Government
72,Sanchez-Sanders,Johnsonton,Alabama,Retail
73,Taylor-Miller,Brooksland,Missouri,Government
74,"Ramirez, Watts and Cole",Darlenehaven,Georgia,Wholesale
75,"Johnson, Turner and Wilson",Port Kathrynport,Oregon,Corporate
76,"Gutierrez, Blackwell and Henderson",West Debraland,Nevada,Government
77,Haas and Sons,Riverachester,New York,Retail
78,"Sanchez, Ortega and Aguilar",West Anthonyberg,Ohio,Wholesale
79,"Hardy, Green and Harris",North Sandratown,Maine,Corporate
80,"Baker, Wise and Butler",Richardsport,Wisconsin,Retail
81,Hernandez-Wells,Port Julianmouth,Ohio,Wholesale
82,Martinez-Schaefer,West Matthew,South Dakota,Retail
83,"Barnett, Davidson and Doyle",New Adam,Tennessee,Wholesale
84,"Hernandez, Thornton and Patton",New Franklinport,South Dakota,Corporate
85,"Peterson, Anderson and Gardner",West Kennethview,New York,Corporate
86,Reeves and Sons,East Timothyshire,Louisiana,Retail
87,Ward and Sons,South Ernest,Illinois,Wholesale
88,Little-Mcdonald,Leslieland,Illinois,Government
89,Howard-Bryan,Lake Shane,Idaho,Corporate
90,"Evans, Howell and Hawkins",Leehaven,Florida,Government
91,Smith-Edwards,Burkemouth,Ohio,Government
92,Norris LLC,Lisastad,Kentucky,Retail
93,"Harris, Mcdonald and Martinez",Lake Louismouth,Vermont,Retail
94,"Castro, Powers and Castro",Lucasfort,Minnesota,Retail
95,Reeves-Rodriguez,North Donald,Alaska,Wholesale
96,"Ross, Kelly and Nash",Wileybury,Nebraska,Corporate
97,Leach-Morris,Williamshaven,Utah,Corporate
98,Miller-Frye,Port Jeremy,Rhode Island,Government
99,Cooper Group,Lake Michael,Missouri,Retail
100,Kaufman-Barton,Richardbury,Nebraska,Wholesale
101,"Castaneda, Warner and Anderson",Fernandezmouth,Utah,Corporate
102,Poole-Lopez,Sharonbury,Vermont,Wholesale
103,Wright-King,Lake Michaelhaven,Illinois,Retail
104,Santiago-Allen,North Jacobchester,Hawaii,Retail
105,Jacobs PLC,Estesport,North Dakota,Corporate
106,"Collins, Hartman and Harper",Port Francisco,North Dakota,Government
107,Ramirez PLC,Lake Sheena,West Virginia,Government
108,Booth-Perez,Camerontown,Colorado,Retail
109,Shepherd-Schmidt,Jacquelinebury,Louisiana,Retail
110,Williams LLC,Candicehaven,Hawaii,Government
111,Long-Stone,Lake Josephbury,Michigan,Retail
112,"Brown, Hernandez and Hernandez",New Michellebury,Rhode Island,Corporate
113,Cook-Mathis,Christophertown,Mississippi,Corporate
114,"Rogers, Shelton and Patterson",East Sierra,Nebraska,Wholesale
115,"Johnson, Reynolds and Brown",Barbarastad,Florida,Government
116,Tran Ltd,East Elizabethmouth,Vermont,Retail
117,Oconnor-Thompson,Barajasland,Minnesota,Wholesale
118,Campos-Kim,Taylorview,West Virginia,Corporate
119,Jones-Greene,West Jasmine,Connecticut,Government
120,"Parks, Cooper and Wallace",Lake Ginaport,Hawaii,Corporate
121,Molina-Norris,Lake Nancy,Florida,Retail
122,Holmes Ltd,South Marcus,West Virginia,Wholesale
123,Parsons Group,Richardville,Mississippi,Retail
124,Drake-Rodriguez,Gutierrezburgh,Ohio,Retail
125,"Cooke, Johnson and Jones",West Erika,California,Government
126,Franklin-Gentry,Langhaven,Michigan,Government
127,Rodgers Inc,East Cynthia,Nebraska,Retail
128,Hubbard-Lee,Sullivanburgh,Michigan,Government
129,Smith LLC,Port Shirleyfurt,Maryland,Wholesale
130,Ruiz-Hancock,Lake Dalton,Illinois,Wholesale
131,"Leonard, Dixon and Murphy",North Brianmouth,New Jersey,Retail
132,"Anderson, Hubbard and Marshall",Baileyhaven,Michigan,Wholesale
133,"Chambers, Yang and Conway",Leetown,Illinois,Retail
134,Sparks-Moore,Fosterport,New Hampshire,Wholesale
135,Frank LLC,South Stephen,Oklahoma,Corporate
136,Wilson LLC,South Leslie,Indiana,Retail
137,Smith-Fisher,Baxtermouth,Missouri,Wholesale
138,Lee Ltd,Lake Amandamouth,New Jersey,Corporate
139,Walker-Henderson,Jenniferside,Kansas,Retail
140,"Thompson, Oliver and Koch",New Lisaburgh,Delaware,Wholesale
141,Gardner-Myers,Lake Christown,Iowa,Wholesale
142,"Ortega, Andrews and Graves",Riverahaven,Hawaii,Corporate
143,Ferguson Group,Ryantown,Michigan,Government
144,Young-Green,West Carl,Ohio,Government
145,"Kim, Taylor and Johnson",Port Jenniferfort,North Carolina,Corporate
146,Vargas Group,Brianshire,Michigan,Corporate
147,"Fleming, Brown and Fisher",Port Randyside,Massachusetts,Retail
148,"Martin, Smith and Bailey",Amandamouth,New Mexico,Government
149,Martinez-Young,Parksshire,Florida,Retail
150,"Griffin, Barron and Morgan",West Heatherhaven,New Mexico,Wholesale
151,Jones-Jones,Ariasburgh,New Hampshire,Corporate
152,Hunter and Sons,East Arthur,Oregon,Retail
153,Thompson LLC,Donaldview,Wyoming,Corporate
154,Hanna and Sons,North Michelletown,Montana,Retail
155,Ponce PLC,North Timothy,Louisiana,Wholesale
156,Rosales-Rollins,Port Jim,Minnesota,Wholesale
157,Bentley Ltd,Sancheztown,Washington,Government
158,Hendrix-Young,Youngmouth,Tennessee,Government
159,Reeves-Hall,Port John,South Dakota,Wholesale
160,Horne Inc,New Brittanyborough,New York,Retail
161,"Alvarez, Griffin and Rivera",East Justin,Iowa,Corporate
162,"Francis, Hughes and Love",West Matthewstad,Illinois,Wholesale
163,Jones Group,Greeneland,Maryland,Wholesale
164,Roberts Ltd,West Tyler,Wyoming,Retail
165,"Walker, Soto and Bell",New Kathrynview,California,Wholesale
166,Barber-Hernandez,South Shawnville,Washington,Wholesale
167,Curtis PLC,East Vanessa,Minnesota,Retail
168,"Patton, Bell and Smith",Port Ronaldborough,Arizona,Wholesale
169,"Townsend, Johnson and Jackson",Sharonside,Nevada,Government
170,"Bowman, Riley and Moore",Destinyville,North Dakota,Government
171,Thomas-Leonard,Walkerton,Colorado,Government
172,Whitehead LLC,East Brendabury,Mississippi,Government
173,Benitez Inc,Lake Adammouth,Nebraska,Wholesale
174,Wilson Group,North David,Missouri,Corporate
175,"Johnson, Thomas and Wheeler",New Christopher,Washington,Government
176,"Rodriguez, Martin and Wagner",East Raymond,Wisconsin,Government
177,Contreras Inc,Stephensborough,Maine,Wholesale
178,Bennett-Austin,Larsonchester,Ohio,Wholesale
179,Mathews-Pollard,Mariaton,Maine,Retail
180,"Martinez, Martinez and Davis",Kevinburgh,Nevada,Government
181,Porter PLC,South Johnfort,Wyoming,Retail
182,Savage and Sons,Huntstad,Oregon,Government
183,Young Group,West Daniellechester,Massachusetts,Corporate
184,"Frazier, Carter and Harrison",Lake Robert,Montana,Wholesale
185,Foster Ltd,North Donnaland,Florida,Wholesale
186,Vasquez Inc,South Rodneyshire,Maine,Retail
187,Fuentes and Sons,East Sarah,Nebraska,Retail
188,Newton Ltd,Salaschester,Utah,Wholesale
189,Kirk-Lopez,Jessicamouth,Virginia,Wholesale
190,"Orozco, Gallagher and Walters",Lake Andrew,Michigan,Wholesale
191,Stewart Group,Debratown,North Dakota,Government
192,Rice-Gaines,New Jesseville,Delaware,Government
193,Preston Ltd,Kristenburgh,Tennessee,Corporate
