product_id,product_name,category,brand,unit_cost
1,Nova Laptop,Electronics,TechPro,37206.75
2,Prime Laptop,Electronics,Prime,7407.13
3,Nova Laptop,Electronics,MaxOne,4803.47
4,SmartLine Laptop,Electronics,TechPro,1974.96
5,Prime Laptop,Electronics,Prime,25515.09
6,TechPro Laptop,Electronics,MaxOne,10342.46
7,MaxOne Laptop,Electronics,SmartLine,11411.81
8,Fusion Laptop,Electronics,Vision,40566.81
9,TechPro Laptop,Electronics,Elite,35057.9
10,Apex Laptop,Electronics,Vision,8196.24
11,Apex Laptop,Electronics,Nova,5090.92
12,Nova Laptop,Electronics,Apex,42450.97
13,Fusion Laptop,Electronics,Vision,40452.85
14,CoreX Laptop,Electronics,MaxOne,6678.9
15,SmartLine Laptop,Electronics,Nova,27826.01
16,Fusion Laptop,Electronics,Apex,29078.93
17,Nova Laptop,Electronics,TechPro,33232.53
18,Vision Laptop,Electronics,Nova,42838.23
19,Nova Laptop,Electronics,SmartLine,14259.69
20,Apex Laptop,Electronics,Elite,18823.96
21,Prime Smartphone,Electronics,Vision,35240.11
22,Nova Smartphone,Electronics,Fusion,31931.43
23,MaxOne Smartphone,Electronics,Prime,8588.42
24,SmartLine Smartphone,Electronics,Vision,49481.41
25,MaxOne Smartphone,Electronics,Prime,34388.41
26,TechPro Smartphone,Electronics,Prime,41179.23
27,Apex Smartphone,Electronics,SmartLine,13753.17
28,Prime Smartphone,Electronics,Fusion,43880.2
29,Apex Smartphone,Electronics,Prime,32944.21
30,SmartLine Smartphone,Electronics,CoreX,7572.14
31,Elite Smartphone,Electronics,Prime,37376.95
32,MaxOne Smartphone,Electronics,Vision,37477.18
33,SmartLine Smartphone,Electronics,Fusion,20270.33
34,Prime Smartphone,Electronics,Elite,25721.55
35,Nova Smartphone,Electronics,TechPro,43124.59
36,Elite Smartphone,Electronics,Elite,39707.93
37,SmartLine Smartphone,Electronics,Fusion,3644.62
38,SmartLine Smartphone,Electronics,Fusion,49808.01
39,MaxOne Smartphone,Electronics,Vision,48568.38
40,TechPro Smartphone,Electronics,Nova,34244.66
41,MaxOne Tablet,Electronics,Vision,38545.64
42,Apex Tablet,Electronics,Nova,15028.26
43,Elite Tablet,Electronics,CoreX,660.64
44,Vision Tablet,Electronics,MaxOne,38217.13
45,MaxOne Tablet,Electronics,Nova,43590.67
46,Vision Tablet,Electronics,MaxOne,30644.03
47,Elite Tablet,Electronics,Apex,38244.28
48,MaxOne Tablet,Electronics,MaxOne,45965.43
49,Fusion Tablet,Electronics,Apex,24685.98
50,Nova Tablet,Electronics,Apex,43996.73
