sales_id,sales_date,customer_id,product_id,employee_id,branch_id,quantity,unit_price,discount
1,2025-01-07,1691,28,58,15,6,34048.9,4220.42
2,2025-04-29,1468,337,94,23,8,7727.38,1173.51
3,2024-08-15,5,175,91,21,5,33313.74,2491.14
4,2024-04-18,94,460,43,16,3,49488.48,7349.15
5,2025-02-23,220,131,51,7,2,55882.76,4391.23
6,2025-04-13,1689,401,49,23,6,7358.18,609.95
7,2025-10-10,1716,345,32,25,8,27985.88,3298.51
8,2025-05-31,276,494,128,1,9,44436.62,4916.7
9,2025-03-19,1718,300,124,17,3,41817.25,1452.32
10,2024-05-11,213,199,83,17,7,25701.22,3130.38
11,2025-12-10,1562,128,71,13,6,58259.01,5276.47
12,2024-05-16,283,212,132,10,9,51781.75,7372.42
13,2025-07-20,1296,112,52,7,10,43148.69,5925.28
14,2025-11-19,272,364,46,17,9,41964.41,2705.71
15,2024-04-28,1559,181,144,16,10,34667.65,4625.75
16,2025-03-03,1381,383,137,10,7,48689.98,5090.34
17,2024-01-26,781,75,14,22,1,12794.24,1919.61
18,2024-06-13,587,350,65,5,1,41745.1,2464.13
19,2025-07-08,67,184,116,4,10,52214.09,7722.39
20,2024-08-17,1521,332,144,13,4,31144.42,4963.38
21,2025-12-13,590,355,13,13,7,25577.41,4031.57
22,2025-12-02,641,495,142,2,1,44876.53,1822.77
23,2025-03-29,1700,116,95,25,10,33250.29,4012.56
24,2024-07-17,603,230,46,22,2,12031.62,418.21
25,2025-06-10,245,194,11,14,5,33839.32,880.27
26,2025-08-21,1733,131,2,11,8,42871.67,1327.36
27,2024-06-06,1902,166,14,25,10,50745.26,3056.44
28,2025-08-09,1127,184,19,23,6,31998.31,6124.4
29,2025-06-17,140,403,130,6,7,33041.73,2665.92
30,2024-12-23,454,453,55,22,6,20532.93,1205.59
31,2025-09-25,1087,244,144,25,1,7768.6,537.6
32,2024-09-03,1853,329,63,2,6,23500.98,3742.33
33,2024-04-26,791,132,139,24,5,2457.64,254.06
34,2025-01-18,1054,412,131,15,8,3587.25,644.47
35,2024-07-16,657,264,22,4,3,58326.1,9020.93
36,2025-06-30,16,321,17,7,4,52032.1,4414.5
37,2024-04-16,422,276,112,21,2,45066.56,1385.84
38,2025-04-15,1469,170,10,3,2,4201.82,667.43
39,2025-07-25,145,295,59,9,7,23893.92,3011.67
40,2025-03-19,648,9,100,22,2,32555.23,4176.33
41,2025-09-25,130,388,150,2,2,22104.31,2222.97
42,2024-10-23,1612,352,78,20,2,17609.53,3263.72
43,2025-01-25,810,421,8,16,3,32474.6,885.79
44,2025-02-04,1632,409,140,10,3,18585.33,3296.96
45,2025-10-25,765,491,3,18,9,9341.06,78.04
46,2025-08-09,1222,202,138,18,2,18976.78,2840.05
47,2024-12-18,434,212,132,5,3,11855.57,1462.7
48,2024-09-15,398,59,47,22,10,51282.82,8732.31
49,2025-07-16,945,331,141,3,5,40629.43,2037.06
50,2024-07-21,1487,298,125,11,6,8564.69,1122.78
51,2024-04-12,584,318,18,7,6,29665.81,1948.13
52,2025-11-06,627,356,150,5,10,34444.85,5564.22
53,2025-03-14,346,3,81,8,4,43019.75,5513.74
54,2024-10-10,1721,185,35,22,6,52795.26,4887.24
55,2025-01-02,1587,157,125,18,2,11370.44,1379.52
56,2024-10-14,1759,424,36,18,4,16530.84,2930.38
57,2024-03-19,1490,39,5,17,1,48945.9,5666.96
58,2025-08-27,436,465,10,18,5,33064.69,6604.53
59,2025-04-28,1340,397,39,12,7,14175.09,2189.04
60,2024-10-24,275,238,129,17,2,24410.32,2451.61
61,2025-11-09,490,435,43,25,9,9281.87,295.58
62,2025-08-02,1943,290,38,24,8,56411.34,456.03
63,2025-05-14,475,33,68,12,4,3525.7,145.8
64,2025-01-04,795,241,117,2,1,58854.8,3814.63
65,2025-12-21,1984,267,71,24,5,35139.25,4007.0
66,2025-01-20,1339,194,94,19,2,31483.11,2369.6
67,2024-08-16,1058,208,91,12,8,47766.79,8475.47
68,2024-01-07,1028,452,36,15,3,14569.46,1499.32
69,2024-10-14,434,77,48,6,6,36519.2,5966.91
70,2025-11-07,472,213,85,24,2,29409.48,2816.34
71,2024-08-03,1210,83,106,1,4,3545.52,406.66
72,2024-06-13,276,323,132,2,10,9665.04,321.54
73,2024-07-03,1059,491,104,20,10,38619.74,6785.56
74,2025-11-08,1683,146,22,7,8,36785.03,3468.19
75,2025-05-08,350,113,106,20,3,47882.35,7857.05
76,2024-07-05,1277,338,131,9,3,43727.02,2996.8
77,2025-04-09,1222,303,18,8,7,23742.25,515.54
78,2024-07-26,1071,441,130,22,7,49764.34,6026.57
79,2024-06-30,975,462,10,18,9,45390.61,845.99
80,2025-11-06,267,462,139,1,7,31800.61,2355.65
81,2024-02-14,1429,272,110,8,8,47583.78,3628.13
82,2025-08-26,1648,380,148,4,7,8899.1,849.23
83,2024-08-26,1864,440,22,10,10,52729.21,4309.52
84,2024-07-12,12,364,2,19,9,7951.89,11.44
85,2025-11-01,421,353,81,14,6,7288.41,621.08
86,2025-08-22,520,134,138,14,10,22573.0,1244.05
87,2025-11-27,814,387,53,14,9,47243.52,4558.7
88,2025-01-14,1146,285,124,9,5,35081.42,5431.97
89,2025-02-11,1507,71,31,24,4,27349.1,3825.11
