claim_id,policy_id,claim_date,claim_type,amount,status,description
1,95,2026-05-14,Fire,48461.51,Closed,Fire claim for policy 95
2,35,2026-05-26,Liability,31343.86,Open,Liability claim for policy 35
3,72,2026-06-09,Theft,17322.13,Denied,Theft claim for policy 72
4,61,2026-04-23,Weather,11304.34,Open,Weather claim for policy 61
5,67,2025-10-14,Weather,46247.07,Settled,Weather claim for policy 67
6,18,2026-05-22,Collision,35071.26,Open,Collision claim for policy 18
7,197,2026-01-14,Liability,28994.71,Settled,Liability claim for policy 197
8,65,2026-05-06,Collision,10796,Denied,Collision claim for policy 65
9,168,2025-03-12,Weather,48922.24,Settled,Weather claim for policy 168
10,131,2024-07-26,Collision,27674.21,Open,Collision claim for policy 131
11,34,2024-07-23,Theft,49403.07,Denied,Theft claim for policy 34
12,197,2025-02-21,Fire,38825.78,Denied,Fire claim for policy 197
13,119,2025-04-14,Weather,41561.28,Denied,Weather claim for policy 119
14,48,2025-10-28,Collision,35067.64,Closed,Collision claim for policy 48
15,124,2025-11-06,Collision,29755.71,Open,Collision claim for policy 124
16,38,2025-07-28,Liability,11146.43,Settled,Liability claim for policy 38
17,126,2024-07-21,Liability,39525.69,Denied,Liability claim for policy 126
18,51,2025-02-03,Weather,43244.55,Settled,Weather claim for policy 51
19,170,2025-09-02,Fire,30910.69,Settled,Fire claim for policy 170
20,120,2024-08-31,Collision,1633.88,Closed,Collision claim for policy 120
21,77,2026-03-04,Theft,5946.65,Closed,Theft claim for policy 77
22,163,2025-02-03,Weather,3187.96,Open,Weather claim for policy 163
23,65,2026-04-17,Collision,11009.97,Denied,Collision claim for policy 65
24,184,2026-04-22,Theft,23150.92,Denied,Theft claim for policy 184
25,141,2025-03-17,Weather,43369.66,Closed,Weather claim for policy 141
26,38,2025-11-06,Fire,22523.24,Settled,Fire claim for policy 38
27,94,2025-01-30,Liability,17080.99,Open,Liability claim for policy 94
28,60,2025-04-21,Collision,21759.33,Settled,Collision claim for policy 60
29,138,2025-10-13,Theft,827.11,Open,Theft claim for policy 138
30,75,2026-02-09,Collision,31075.63,Denied,Collision claim for policy 75
31,140,2025-06-16,Collision,43866.13,Closed,Collision claim for policy 140
32,119,2026-06-03,Liability,14474.23,Settled,Liability claim for policy 119
33,8,2024-12-23,Theft,19965.09,Closed,Theft claim for policy 8
34,163,2024-10-23,Fire,42929.71,Open,Fire claim for policy 163
35,161,2024-10-31,Fire,6317.11,Settled,Fire claim for policy 161
36,85,2026-06-13,Fire,48663.44,Open,Fire claim for policy 85
37,122,2024-01-05,Weather,29700.42,Settled,Weather claim for policy 122
38,73,2024-05-03,Weather,33312.89,Denied,Weather claim for policy 73
39,9,2026-02-26,Liability,18133.24,Settled,Liability claim for policy 9
