policy_id,policy_number,policy_holder_id,effective_date,expiration_date,policy_type,premium_amount
1,P-20260001,123,2026-04-08,2027-04-08,Life,3929.83
2,P-20260002,77,2025-12-25,2026-12-25,Commercial,3040.0
3,P-20260003,182,2025-06-25,2026-06-25,Home,1229.66
4,P-20260004,6,2025-10-28,2026-10-28,Auto,4411.51
5,P-20260005,57,2025-09-12,2026-09-12,Commercial,1939.05
6,P-20260006,82,2025-12-03,2026-12-03,Home,2968.89
7,P-20260007,114,2026-02-08,2027-02-08,Auto,903.72
8,P-20260008,124,2025-12-17,2026-12-17,Commercial,2937.81
9,P-20260009,63,2026-01-11,2027-01-11,Auto,4997.01
10,P-20260010,123,2025-10-06,2026-10-06,Commercial,357.68
11,P-20260011,192,2026-05-02,2027-05-02,Home,1159.19
12,P-20260012,95,2025-07-10,2026-07-10,Life,506.8
13,P-20260013,118,2026-01-20,2027-01-20,Auto,4410.64
14,P-20260014,111,2025-07-19,2026-07-19,Home,1294.35
15,P-20260015,35,2025-10-20,2026-10-20,Commercial,2755.11
16,P-20260016,117,2025-11-15,2026-11-15,Commercial,4762.55
17,P-20260017,120,2026-02-13,2027-02-13,Auto,3064.66
18,P-20260018,37,2025-09-24,2026-09-24,Home,2443.18
19,P-20260019,158,2025-09-20,2026-09-20,Auto,3422.2
20,P-20260020,24,2026-01-17,2027-01-17,Auto,3672.07
21,P-20260021,30,2025-07-10,2026-07-10,Auto,4778.26
22,P-20260022,158,2026-03-07,2027-03-07,Commercial,545.11
23,P-20260023,71,2026-05-10,2027-05-10,Life,1466.37
24,P-20260024,192,2026-04-29,2027-04-29,Home,1202.96
25,P-20260025,153,2026-05-20,2027-05-20,Commercial,2984.95
26,P-20260026,88,2025-11-24,2026-11-24,Life,2772.12
27,P-20260027,193,2026-04-05,2027-04-05,Home,2186.34
28,P-20260028,102,2026-01-31,2027-01-31,Life,4874.08
29,P-20260029,154,2025-11-17,2026-11-17,Auto,4925.28
30,P-20260030,138,2025-10-18,2026-10-18,Home,291.28
31,P-20260031,133,2026-01-24,2027-01-24,Commercial,2552.17
32,P-20260032,122,2025-08-25,2026-08-25,Auto,1091.55
33,P-20260033,195,2025-06-29,2026-06-29,Life,4029.0
34,P-20260034,45,2026-02-04,2027-02-04,Life,2677.29
35,P-20260035,195,2025-06-22,2026-06-22,Life,4661.07
36,P-20260036,82,2026-02-19,2027-02-19,Commercial,4825.98
37,P-20260037,33,2025-10-03,2026-10-03,Home,4329.7
38,P-20260038,101,2025-06-28,2026-06-28,Auto,1667.29
39,P-20260039,182,2025-09-22,2026-09-22,Commercial,4479.91
40,P-20260040,24,2025-08-13,2026-08-13,Auto,4060.83
41,P-20260041,53,2026-05-06,2027-05-06,Life,2703.88
42,P-20260042,169,2026-02-14,2027-02-14,Life,392.24
43,P-20260043,43,2025-06-16,2026-06-16,Home,4493.89
44,P-20260044,30,2025-09-06,2026-09-06,Home,4066.35
45,P-20260045,192,2025-12-12,2026-12-12,Auto,4000.17
46,P-20260046,91,2025-07-01,2026-07-01,Home,612.83
47,P-20260047,60,2026-04-09,2027-04-09,Commercial,355.73
48,P-20260048,104,2025-11-28,2026-11-28,Life,804.85
49,P-20260049,56,2025-09-17,2026-09-17,Commercial,3881.11
50,P-20260050,70,2025-09-22,2026-09-22,Home,4885.04
51,P-20260051,82,2026-01-21,2027-01-21,Auto,2985.33
52,P-20260052,130,2025-06-18,2026-06-18,Home,2068.0
53,P-20260053,162,2026-05-07,2027-05-07,Auto,2405.48
54,P-20260054,23,2026-02-13,2027-02-13,Commercial,594.36
55,P-20260055,65,2026-06-16,2027-06-16,Home,2883.32
56,P-20260056,10,2026-01-21,2027-01-21,Life,2629.95
57,P-20260057,73,2026-01-12,2027-01-12,Commercial,2979.88
58,P-20260058,118,2025-10-26,2026-10-26,Life,4357.84
59,P-20260059,199,2025-11-12,2026-11-12,Life,302.52
60,P-20260060,101,2025-08-20,2026-08-20,Auto,1055.37
61,P-20260061,98,2026-04-04,2027-04-04,Home,3092.87
62,P-20260062,84,2026-06-15,2027-06-15,Auto,2450.2
